[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.958419	0.098417	0.010750	0.019167	3.222461	0.255151	0.213239	0.228328	0.202721	0.217251	0.203185	0.210101	0.194011	0.210380	0.208789	0.208015	0.201784	0.201031	0.194383	0.203946	0.203866	0.196405	0.225665	0.303954	0.335680	0.079394	0.176976	0.035333
0.972850	0.098417	0.011083	0.018625	3.223715	0.255763	0.213397	0.228568	0.202729	0.217246	0.203179	0.210098	0.194006	0.210374	0.208788	0.208013	0.201781	0.201029	0.194382	0.203946	0.203865	0.196403	0.225675	0.303953	0.335713	0.079395	0.176977	0.035311
0.987408	0.098792	0.011167	0.018583	3.224487	0.256322	0.213434	0.228625	0.202748	0.217252	0.203182	0.210105	0.194012	0.210367	0.208793	0.208015	0.201779	0.201028	0.194384	0.203945	0.203862	0.196405	0.225683	0.303959	0.335770	0.079396	0.176977	0.035289
1.002131	0.099542	0.011167	0.018667	3.224377	0.256426	0.213478	0.228479	0.202772	0.217267	0.203191	0.210125	0.194024	0.210363	0.208806	0.208017	0.201777	0.201030	0.194389	0.203944	0.203861	0.196407	0.225683	0.303974	0.335810	0.079396	0.176990	0.035263
1.016494	0.101750	0.010917	0.019250	3.224026	0.256344	0.213533	0.228361	0.202814	0.217305	0.203204	0.210142	0.194035	0.210362	0.208817	0.208018	0.201776	0.201032	0.194391	0.203942	0.203861	0.196406	0.225680	0.303976	0.335809	0.079395	0.177056	0.035241
1.031185	0.105083	0.011000	0.019167	3.224049	0.256618	0.213519	0.228366	0.202839	0.217324	0.203213	0.210144	0.194038	0.210362	0.208820	0.208017	0.201775	0.201030	0.194389	0.203941	0.203862	0.196404	0.225674	0.303968	0.335813	0.079393	0.177296	0.035220
1.045810	0.110417	0.010917	0.019167	3.224180	0.257071	0.213363	0.228445	0.202850	0.217308	0.203211	0.210138	0.194036	0.210362	0.208819	0.208016	0.201775	0.201027	0.194389	0.203943	0.203864	0.196404	0.225670	0.303971	0.335838	0.079392	0.177913	0.035199
1.060048	0.117083	0.011167	0.019250	3.224220	0.257180	0.213142	0.228426	0.202808	0.217260	0.203198	0.210130	0.194032	0.210362	0.208818	0.208014	0.201774	0.201024	0.194390	0.203942	0.203865	0.196403	0.225669	0.303978	0.335838	0.079392	0.179109	0.035179
1.074996	0.124708	0.011000	0.019458	3.224055	0.256907	0.212886	0.228290	0.202768	0.217213	0.203190	0.210124	0.194031	0.210365	0.208820	0.208014	0.201773	0.201024	0.194392	0.203939	0.203866	0.196399	0.225670	0.303972	0.335795	0.079391	0.181398	0.035158
1.089425	0.132208	0.011250	0.019417	3.223536	0.256579	0.212623	0.228153	0.202712	0.217175	0.203187	0.210120	0.194028	0.210371	0.208822	0.208015	0.201774	0.201025	0.194391	0.203935	0.203866	0.196394	0.225666	0.303953	0.335765	0.079391	0.184633	0.035140
1.103889	0.139000	0.011083	0.019208	3.222743	0.256273	0.212498	0.228104	0.202677	0.217151	0.203181	0.210112	0.194020	0.210375	0.208820	0.208014	0.201776	0.201023	0.194390	0.203933	0.203868	0.196391	0.225663	0.303942	0.335756	0.079392	0.188896	0.035123
1.118579	0.145333	0.011042	0.018833	3.222105	0.255940	0.212394	0.228113	0.202650	0.217121	0.203162	0.210099	0.194009	0.210371	0.208814	0.208011	0.201775	0.201021	0.194388	0.203933	0.203869	0.196392	0.225662	0.303943	0.335762	0.079393	0.194396	0.035108
1.133042	0.150542	0.010917	0.019167	3.222035	0.255707	0.212320	0.228136	0.202633	0.217119	0.203149	0.210090	0.194004	0.210368	0.208811	0.208011	0.201773	0.201020	0.194387	0.203934	0.203871	0.196396	0.225660	0.303958	0.335765	0.079395	0.200595	0.035097
1.147665	0.154583	0.010833	0.019167	3.222485	0.255527	0.212152	0.228073	0.202594	0.217111	0.203146	0.210088	0.194006	0.210371	0.208811	0.208015	0.201774	0.201024	0.194388	0.203937	0.203872	0.196400	0.225658	0.303967	0.335753	0.079396	0.207480	0.035087
1.162160	0.158458	0.011083	0.018708	3.222991	0.255412	0.212066	0.227983	0.202570	0.217124	0.203162	0.210100	0.194013	0.210379	0.208814	0.208021	0.201781	0.201031	0.194392	0.203941	0.203876	0.196401	0.225659	0.303966	0.335729	0.079398	0.214354	0.035080
1.176658	0.161125	0.011417	0.018667	3.223202	0.255364	0.212035	0.227944	0.202569	0.217140	0.203198	0.210126	0.194029	0.210398	0.208827	0.208031	0.201796	0.201046	0.194404	0.203951	0.203886	0.196406	0.225666	0.303973	0.335700	0.079403	0.221580	0.035074
1.191475	0.163958	0.012083	0.019083	3.223434	0.255595	0.212187	0.228004	0.202629	0.217206	0.203252	0.210173	0.194066	0.210435	0.208852	0.208054	0.201821	0.201070	0.194429	0.203974	0.203906	0.196424	0.225693	0.304051	0.335711	0.079414	0.228847	0.035068
1.205744	0.166208	0.013250	0.019333	3.224411	0.256109	0.212605	0.228161	0.202760	0.217341	0.203347	0.210249	0.194144	0.210496	0.208902	0.208099	0.201864	0.201109	0.194466	0.204014	0.203943	0.196466	0.225747	0.304209	0.335778	0.079446	0.235352	0.035063
